group,method,environment,seeds,mean_last10,stderr_last10
no_shared,Grouped-rho4 legacy d=.1 (5s),humanoid,5,6394.6,150.68331029015786
no_shared,Grouped-rho4 legacy d=.1 (5s),humanoidstandup,5,159320.0,1949.2049661336284
no_shared,Grouped-rho4 legacy d=.1 (5s),swimmer,5,199.33999999999992,44.2287191765712
no_shared,Grouped-rho4 legacy d=.1 (5s),walker2d,5,4572.8,478.43540838863504
no_shared,Grouped-rho4 aligned d=.03 (5s),ant,5,4710.655821737801,93.44326155556998
no_shared,Grouped-rho4 aligned d=.03 (5s),halfcheetah,5,6452.6299497164,134.28026439008366
no_shared,Grouped-rho4 aligned d=.03 (5s),hopper,5,3531.810574921799,75.78821696048664
no_shared,Grouped-rho4 aligned d=.03 (5s),humanoid,5,6685.848999646594,240.18905472668868
no_shared,Grouped-rho4 aligned d=.03 (5s),humanoidstandup,5,172677.54529362233,9126.83726180791
no_shared,Grouped-rho4 aligned d=.03 (5s),swimmer,5,262.56,51.39166858548183
no_shared,Grouped-rho4 aligned d=.03 (5s),walker2d,5,5048.611632150403,126.86773162202765
no_shared,Hier16x64 d=.03 (5s),ant,5,4877.8,63.868145424773374
no_shared,Hier16x64 d=.03 (5s),halfcheetah,5,5886.6,370.11546846896306
no_shared,Hier16x64 d=.03 (5s),hopper,5,3211.8,326.71721717717907
no_shared,Hier16x64 d=.03 (5s),humanoid,5,6001.6,144.6753607218589
no_shared,Hier16x64 d=.03 (5s),humanoidstandup,5,161160.0,1423.2357499725756
no_shared,Hier16x64 d=.03 (5s),swimmer,5,185.45999999999998,32.986203176479705
no_shared,Hier16x64 d=.03 (5s),walker2d,5,4187.2,269.2636997443213
